,Bandar Seri Begawan,Kuala Belait,Seria,Tutong,Phnom Penh,Siem Reap,Battambang,Sihanoukville,Kampot,Kratie,Kep,Koh Kong,Jakarta,Surabaya,Bandung,Medan,Semarang,Yogyakarta,Makassar,Palembang,Denpasar,Bekasi,Tangerang,Bogor,Vientiane,Luang Prabang,Pakse,Savannakhet,Vang Vieng,Kuala Lumpur,George Town,Ipoh,Johor Bahru,Kota Kinabalu,Kuching,Melaka,Petaling Jaya,Shah Alam,Subang Jaya,Iskandar Puteri,Yangon,Mandalay,Naypyidaw,Bago,Mawlamyine,Taunggyi,Monywa,Myitkyina,Manila,Quezon City,Makati,Cebu City,Davao City,Iloilo City,Baguio,Angeles City,Bacolod,Cagayan de Oro,Tagaytay,Tagbilaran,Singapore,Bangkok,Chiang Mai,Pattaya,Phuket,Krabi,Chiang Rai,Hua Hin,Ayutthaya,Kanchanaburi,Nakhon Ratchasima,Dili,Baucau,Maliana,Suai,Lospalos,Hanoi,Ho Chi Minh City,Da Nang,Haiphong,Can Tho,Nha Trang,Hue,Da Lat,Vung Tau,Qui Nhon
Bandar Seri Begawan,0.0,90.0,75.0,40.0,1328.0,1536.0,1564.0,1430.0,1351.0,1303.0,1326.0,1512.0,1520.0,1365.0,1540.0,1812.0,1407.0,1511.0,1215.0,1429.0,1498.0,1515.0,1533.0,1560.0,1974.0,2164.0,1511.0,1633.0,2062.0,1484.0,1622.0,1538.0,1299.0,174.0,630.0,1434.0,1490.0,1504.0,1498.0,1315.0,2436.0,2777.0,2620.0,2573.0,2285.0,2616.0,2862.0,2942.0,1261.0,1271.0,1260.0,1155.0,1206.0,1059.0,1417.0,1181.0,1091.0,1144.0,1213.0,1116.0,1297.0,1865.0,2318.0,1783.0,1866.0,1787.0,2334.0,1854.0,1895.0,2017.0,1827.0,4769.0,1954.0,1912.0,1943.0,2007.0,2043.0,1118.0,1439.0,1981.0,1160.0,1031.0,1512.0,1059.0,1057.0,1166.0
Kuala Belait,90.0,0.0,16.0,53.0,1281.0,1494.0,1518.0,1373.0,1296.0,1266.0,1271.0,1459.0,1445.0,1319.0,1468.0,1727.0,1347.0,1453.0,1222.0,1343.0,1469.0,1440.0,1457.0,1485.0,1945.0,2140.0,1484.0,1611.0,2036.0,1398.0,1541.0,1454.0,1210.0,260.0,544.0,1347.0,1404.0,1418.0,1411.0,1226.0,2388.0,2743.0,2580.0,2527.0,2238.0,2581.0,2826.0,2918.0,1334.0,1344.0,1334.0,1244.0,1294.0,1145.0,1484.0,1269.0,1178.0,1233.0,1287.0,1205.0,1208.0,1814.0,2281.0,1730.0,1792.0,1714.0,2302.0,1798.0,1847.0,1967.0,1786.0,4725.0,1985.0,1936.0,1967.0,2039.0,2034.0,1074.0,1429.0,1976.0,1107.0,1011.0,1500.0,1032.0,1012.0,1153.0
Seria,75.0,16.0,0.0,37.0,1291.0,1504.0,1528.0,1384.0,1307.0,1274.0,1282.0,1470.0,1456.0,1324.0,1479.0,1743.0,1355.0,1461.0,1218.0,1357.0,1471.0,1451.0,1468.0,1496.0,1952.0,2146.0,1491.0,1617.0,2043.0,1413.0,1556.0,1470.0,1226.0,246.0,558.0,1362.0,1419.0,1433.0,1427.0,1242.0,2398.0,2751.0,2589.0,2537.0,2248.0,2589.0,2835.0,2925.0,1323.0,1333.0,1322.0,1229.0,1278.0,1131.0,1474.0,1253.0,1164.0,1218.0,1276.0,1190.0,1223.0,1825.0,2290.0,1741.0,1806.0,1728.0,2310.0,1810.0,1858.0,1977.0,1795.0,4735.0,1977.0,1929.0,1960.0,2031.0,2038.0,1083.0,1433.0,1979.0,1118.0,1016.0,1504.0,1038.0,1022.0,1158.0
Tutong,40.0,53.0,37.0,0.0,1315.0,1526.0,1552.0,1413.0,1335.0,1295.0,1310.0,1497.0,1483.0,1337.0,1504.0,1779.0,1374.0,1479.0,1208.0,1390.0,1476.0,1478.0,1496.0,1523.0,1970.0,2162.0,1508.0,1632.0,2060.0,1450.0,1591.0,1506.0,1263.0,213.0,591.0,1399.0,1456.0,1470.0,1464.0,1279.0,2423.0,2771.0,2611.0,2561.0,2273.0,2610.0,2855.0,2940.0,1297.0,1307.0,1296.0,1194.0,1241.0,1098.0,1451.0,1216.0,1130.0,1182.0,1249.0,1155.0,1260.0,1851.0,2310.0,1768.0,1840.0,1761.0,2329.0,1837.0,1882.0,2003.0,1817.0,4758.0,1958.0,1913.0,1944.0,2012.0,2048.0,1107.0,1443.0,1987.0,1144.0,1031.0,1515.0,1055.0,1045.0,1169.0
Phnom Penh,1328.0,1281.0,1291.0,1315.0,0.0,230.0,238.0,217.0,135.0,175.0,148.0,208.0,1974.0,2254.0,2067.0,1120.0,2141.0,2245.0,2447.0,1610.0,2510.0,1983.0,1972.0,2020.0,751.0,968.0,405.0,553.0,856.0,997.0,848.0,879.0,1121.0,1374.0,1259.0,1063.0,1004.0,1012.0,1012.0,1129.0,1109.0,1488.0,1307.0,1247.0,958.0,1324.0,1565.0,1723.0,1773.0,1782.0,1777.0,2080.0,2326.0,1930.0,1775.0,2303.0,1972.0,2189.0,1760.0,2083.0,1136.0,539.0,1023.0,465.0,826.0,744.0,1067.0,553.0,568.0,691.0,519.0,3444.0,3255.0,3196.0,3225.0,3312.0,1045.0,214.0,612.0,1046.0,195.0,471.0,614.0,386.0,272.0,528.0
Siem Reap,1536.0,1494.0,1504.0,1526.0,230.0,0.0,84.0,323.0,304.0,251.0,331.0,207.0,2186.0,2482.0,2282.0,1222.0,2365.0,2468.0,2673.0,1811.0,2740.0,2195.0,2183.0,2231.0,527.0,746.0,287.0,401.0,634.0,1155.0,961.0,1016.0,1312.0,1569.0,1489.0,1233.0,1161.0,1167.0,1168.0,1318.0,911.0,1261.0,1086.0,1038.0,755.0,1097.0,1340.0,1494.0,1855.0,1863.0,1859.0,2210.0,2481.0,2058.0,1832.0,2460.0,2100.0,2335.0,1848.0,2220.0,1328.0,367.0,796.0,326.0,851.0,780.0,837.0,433.0,378.0,511.0,293.0,3233.0,3474.0,3418.0,3447.0,3530.0,865.0,422.0,557.0,883.0,424.0,592.0,528.0,522.0,484.0,584.0
Battambang,1564.0,1518.0,1528.0,1552.0,238.0,84.0,0.0,268.0,273.0,309.0,302.0,140.0,2150.0,2467.0,2248.0,1148.0,2342.0,2443.0,2682.0,1769.0,2730.0,2160.0,2146.0,2195.0,562.0,780.0,370.0,478.0,669.0,1095.0,890.0,951.0,1265.0,1606.0,1482.0,1177.0,1101.0,1106.0,1108.0,1270.0,874.0,1257.0,1071.0,1010.0,721.0,1093.0,1332.0,1509.0,1928.0,1936.0,1932.0,2273.0,2536.0,2122.0,1909.0,2514.0,2163.0,2393.0,1921.0,2281.0,1282.0,311.0,793.0,255.0,768.0,698.0,847.0,359.0,333.0,461.0,291.0,3207.0,3492.0,3432.0,3461.0,3549.0,928.0,447.0,640.0,952.0,425.0,652.0,611.0,577.0,507.0,657.0
Sihanoukville,1430.0,1373.0,1384.0,1413.0,217.0,323.0,268.0,0.0,97.0,389.0,111.0,133.0,1887.0,2227.0,1987.0,918.0,2092.0,2191.0,2490.0,1502.0,2499.0,1897.0,1883.0,1932.0,829.0,1046.0,581.0,715.0,936.0,832.0,650.0,696.0,998.0,1498.0,1263.0,911.0,839.0,845.0,846.0,1003.0,1037.0,1483.0,1278.0,1193.0,900.0,1319.0,1551.0,1760.0,1977.0,1986.0,1981.0,2260.0,2488.0,2113.0,1986.0,2464.0,2155.0,2358.0,1963.0,2260.0,1014.0,469.0,1026.0,374.0,610.0,528.0,1094.0,427.0,518.0,615.0,542.0,3377.0,3318.0,3250.0,3277.0,3377.0,1187.0,378.0,817.0,1203.0,282.0,675.0,809.0,588.0,419.0,744.0
Kampot,1351.0,1296.0,1307.0,1335.0,135.0,304.0,273.0,97.0,0.0,309.0,30.0,168.0,1883.0,2195.0,1979.0,985.0,2070.0,2171.0,2431.0,1508.0,2461.0,1892.0,1880.0,1928.0,828.0,1047.0,529.0,672.0,935.0,870.0,714.0,747.0,1011.0,1413.0,1217.0,941.0,878.0,885.0,885.0,1017.0,1100.0,1522.0,1325.0,1250.0,957.0,1357.0,1593.0,1781.0,1882.0,1891.0,1886.0,2165.0,2395.0,2017.0,1893.0,2372.0,2059.0,2264.0,1867.0,2164.0,1027.0,526.0,1059.0,437.0,702.0,619.0,1118.0,504.0,567.0,676.0,562.0,3441.0,3253.0,3187.0,3215.0,3311.0,1157.0,282.0,747.0,1164.0,193.0,580.0,746.0,492.0,324.0,655.0
Kratie,1303.0,1266.0,1274.0,1295.0,175.0,251.0,309.0,389.0,309.0,0.0,319.0,348.0,2087.0,2325.0,2175.0,1293.0,2229.0,2334.0,2463.0,1739.0,2568.0,2095.0,2087.0,2134.0,692.0,902.0,272.0,425.0,792.0,1159.0,1021.0,1048.0,1262.0,1326.0,1318.0,1218.0,1166.0,1175.0,1174.0,1271.0,1159.0,1477.0,1318.0,1280.0,1002.0,1316.0,1561.0,1675.0,1628.0,1637.0,1633.0,1965.0,2232.0,1813.0,1620.0,2210.0,1855.0,2086.0,1619.0,1973.0,1277.0,615.0,1016.0,563.0,994.0,914.0,1039.0,664.0,628.0,761.0,528.0,3472.0,3250.0,3198.0,3228.0,3305.0,920.0,222.0,442.0,908.0,294.0,344.0,451.0,272.0,281.0,365.0
